ProductCode,ProductDescription
010121,"Live horses, asses, mules and hinnies : Horses : Pure-bred breeding animals"
010129,"Live horses, asses, mules and hinnies : Horses : Other"
010130,"Live horses, asses, mules and hinnies : Asses"
010190,"Live horses, asses, mules and hinnies : Other"
010221,Live bovine animals : Cattle : Pure-bred breeding animals
010229,Live bovine animals : Cattle : Other
010231,Live bovine animals : Buffalo : Pure-bred breeding animals
010239,Live bovine animals : Buffalo : Other
010290,Live bovine animals : Other
010310,Live swine : Pure-bred breeding animals
010391,Live swine : Other : Weighing less than 50 kg
010392,Live swine : Other : Weighing 50 kg or more
010410,Live sheep and goats : Sheep
010420,Live sheep and goats : Goats
010511,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls : Weighing not more than 185 g : Fowls of the species Gallus domesticus"
010512,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls : Weighing not more than 185 g : Turkeys"
010513,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls : Weighing not more than 185 g : Ducks"
010514,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls : Weighing not more than 185 g : Geese"
010515,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls : Weighing not more than 185 g : Guinea fowls"
010594,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls : Other : Fowls of the species Gallus domesticus"
010599,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls : Other : Other"
010611,Other live animals : Mammals : Primates
010612,"Other live animals : Mammals : Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,Other live animals : Mammals : Camels and other camelids (Camelidae)
010614,Other live animals : Mammals : Rabbits and hares
010619,Other live animals : Mammals : Other
010620,Other live animals : Reptiles (including snakes and turtles)
010631,Other live animals : Birds : Birds of prey
010632,"Other live animals : Birds : Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
010633,Other live animals : Birds : Ostriches; emus (Dromaius novaehollandiae)
010639,Other live animals : Birds : Other
010641,Other live animals : Insects : Bees
010649,Other live animals : Insects : Other
010690,Other live animals : Other
020110,"Meat of bovine animals, fresh or chilled : Carcases and half-carcases"
020120,"Meat of bovine animals, fresh or chilled : Other cuts with bone in"
020130,"Meat of bovine animals, fresh or chilled : Boneless"
020210,"Meat of bovine animals, frozen : Carcases and half-carcases"
020220,"Meat of bovine animals, frozen : Other cuts with bone in"
020230,"Meat of bovine animals, frozen : Boneless"
020311,"Meat of swine, fresh, chilled or frozen : Fresh or chilled : Carcases and half-carcases"
020312,"Meat of swine, fresh, chilled or frozen : Fresh or chilled : Hams, shoulders and cuts thereof, with bone in"
020319,"Meat of swine, fresh, chilled or frozen : Fresh or chilled : Other"
020321,"Meat of swine, fresh, chilled or frozen : Frozen : Carcases and half-carcases"
020322,"Meat of swine, fresh, chilled or frozen : Frozen : Hams, shoulders and cuts thereof, with bone in"
020329,"Meat of swine, fresh, chilled or frozen : Frozen : Other"
020410,"Meat of sheep or goats, fresh, chilled or frozen : Carcases and half-carcases of lamb, fresh or chilled"
020421,"Meat of sheep or goats, fresh, chilled or frozen : Other meat of sheep, fresh or chilled : Carcases and half-carcases"
020422,"Meat of sheep or goats, fresh, chilled or frozen : Other meat of sheep, fresh or chilled : Other cuts with bone in"
020423,"Meat of sheep or goats, fresh, chilled or frozen : Other meat of sheep, fresh or chilled : Boneless"
020430,"Meat of sheep or goats, fresh, chilled or frozen : Carcases and half-carcases of lamb, frozen"
020441,"Meat of sheep or goats, fresh, chilled or frozen : Other meat of sheep, frozen : Carcases and half-carcases"
020442,"Meat of sheep or goats, fresh, chilled or frozen : Other meat of sheep, frozen : Other cuts with bone in"
020443,"Meat of sheep or goats, fresh, chilled or frozen : Other meat of sheep, frozen : Boneless"
020450,"Meat of sheep or goats, fresh, chilled or frozen : Meat of goats"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Of bovine animals, fresh or chilled"
020621,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Of bovine animals, frozen : Tongues"
020622,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Of bovine animals, frozen : Livers"
020629,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Of bovine animals, frozen : Other"
020630,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Of swine, fresh or chilled"
020641,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Of swine, frozen : Livers"
020649,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Of swine, frozen : Other"
020680,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Other, fresh or chilled"
020690,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen : Other, frozen"
020711,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of fowls of the species Gallus domesticus : Not cut in pieces, fresh or chilled"
020712,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of fowls of the species Gallus domesticus : Not cut in pieces, frozen"
020713,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of fowls of the species Gallus domesticus : Cuts and offal, fresh or chilled"
020714,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of fowls of the species Gallus domesticus : Cuts and offal, frozen"
020724,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of turkeys : Not cut in pieces, fresh or chilled"
020725,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of turkeys : Not cut in pieces, frozen"
020726,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of turkeys : Cuts and offal, fresh or chilled"
020727,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of turkeys : Cuts and offal, frozen"
020741,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of ducks : Not cut in pieces, fresh or chilled"
020742,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of ducks : Not cut in pieces, frozen"
020743,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of ducks : Fatty livers, fresh or chilled"
020744,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of ducks : Other, fresh or chilled"
020745,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of ducks : Other, frozen"
020751,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of geese : Not cut in pieces, fresh or chilled"
020752,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of geese : Not cut in pieces, frozen"
020753,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of geese : Fatty livers, fresh or chilled"
020754,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of geese : Other, fresh or chilled"
020755,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of geese : Other, frozen"
020760,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen : Of guinea fowls"
020810,"Other meat and edible meat offal, fresh, chilled or frozen : Of rabbits or hares"
020830,"Other meat and edible meat offal, fresh, chilled or frozen : Of primates"
